	Property Name	Property Location	Price	Property Info
34	Lingkaran Putrajaya	Puchong South, Selangor	RM 450,000MUST SEE	Landed4 + 1 beds4 bath2 carparkRM 185/sqft2,420 sqft
35	Armanee Terrace	Jalan PJU 8/1, Bandar Petaling Jaya, Damansara Perdana, Selangor	RM 888,000MUST SEE	Non Landed4 beds3 bath2 carparkRM 386/sqft2,300 sqft
36	Taman Bukit Teratai	Jalan Teratai 1/2, Ampang, Selangor	RM 590,000MUST SEE	Landed4 beds3 bathRM 453/sqft1,300 sqft
37	Bandar Bukit Mahkota Bangi	Bangi, Selangor	RM 580,000MUST SEE	Landed4 beds3 bathRM 351/sqft1,650 sqft
38	Tasik Residency, Puchong Utama, Taman Putra Prima	Sepang, Selangor	RM 786,000MUST SEE	Non Landed4 + 1 beds5 bath2 carparkRM 382/sqft2,055 sqft
39	X2 Residency	Off Jalan Putra Prima Tengah, Puchong, Selangor	RM 680,000MUST SEE	Non Landed5 beds5 bath3 carparkRM 281/sqft2,415 sqft
40	X2 Residency	Off Jalan Putra Prima Tengah, Puchong, Selangor	RM 749,800MUST SEE	Non Landed5 beds5 bath4 carparkRM 231/sqft3,234 sqft
41	Tasik Residency, Lakefront Condo, Tasik Prima Puchong, BP14	Puchong, Selangor	RM 750,000MUST SEE	Non Landed4 + 1 beds5 bath3 carparkRM 310/sqft2,415 sqft
42	Taman Sri Andalas	Jalan Seri Sedeli, Klang, Selangor	RM 700,000MUST SEE	Landed4 + 1 beds3 bathRM 322/sqft2,171 sqft
43	Saujana Villa, Kajang	Kajang Perdana, Kajang, Selangor	RM 1,200,000MUST SEE	Landed5 beds4 bathRM 375/sqft3,200 sqft
44	Ampang Jaya	j, Ampang, Selangor	RM 1,800,000MUST SEE	Landed4 + 1 beds5 bathRM 461/sqft3,900 sqft
45	Laksamana Puri	Jalan Laksamana 6, Kg Laksamana,Selayang, Batu Caves, Selangor	RM 320,000MUST SEE	Non Landed4 beds2 bath1 carparkRM 348/sqft917 sqft
46	Next to Eco Majestic NEW 0 DOWNPAYMENT TERRACE SEMENYIH	Semenyih, Selangor	RM 461,000MUST SEE	Landed4 beds3 bathRM 371/sqft1,240 sqft
47	0 DOWNPAYMENT NEW SEMI D Legal Fees FREE 20min Putrajaya 10min Bangi 	Bangi, Selangor	RM 850,000MUST SEE	Landed5 beds5 bathRM 263/sqft3,228 sqft
48	Taman Prima Saujana	Jalan Prima Saujana, Kajang, Selangor	RM 1,260,000MUST SEE	Landed5 + 1 beds4 bathRM 393/sqft3,200 sqft
49	Jenderam Hilir	Kampung Jenderam Hilir, Dengkil, Selangor	RM 495,000MUST SEE	Landed4 beds3 bathRM 380/sqft1,300 sqft
50	15min Cyberjaya Putrajaya NEW FREEHOLD Terrace PARTIAL FURNISHED	Sepang, Selangor	RM 495,000MUST SEE	Landed4 beds3 bathRM 380/sqft1,300 sqft
51	Jalan Sungai Merab	Bangi, Selangor	RM 660,000MUST SEE	Landed5 beds5 bathRM 412/sqft1,600 sqft
52	Seksyen 8, Bandar Baru Bangi	Jalan 8, Bangi, Selangor	RM 681,000MUST SEE	Landed4 beds3 bathRM 499/sqft1,364 sqft
53	NEW Terrace PARTIAL FURNISHED FREEHOLD 15min Putrajaya Cyberjaya 	Bangi, Selangor	RM 495,000MUST SEE	Landed4 beds3 bathRM 380/sqft1,300 sqft
54	Seksyen 5, Petaling Jaya	Petaling Jaya, Selangor	RM 501,000MUST SEE	Landed4 beds3 bathRM -- sqft
55	Seksyen 1, Petaling Jaya	Petaling Jaya, Selangor	RM 401,000MUST SEE	Landed4 beds4 bathRM -- sqft
56	Kota Kemuning	Persiaran Anggerik Mokara, Kota Kemuning, Selangor	RM 560,000MUST SEE	Landed4 beds3 bathRM 400/sqft1,400 sqft
57	Pangsapuri Randa	No. 3 Jalan Anggerik Tania 31/112, Kota Kemuning, Kota Kemuning, Selangor	RM 320,000MUST SEE	Non Landed3 beds2 bathRM 393/sqft814 sqft
58	Kota Kemuning	Persiaran Anggerik Mokara, Kota Kemuning, Selangor	RM 750,000MUST SEE	Landed4 beds3 bathRM 454/sqft1,650 sqft
59	Pangsapuri Randa	No. 3 Jalan Anggerik Tania 31/112, Kota Kemuning, Kota Kemuning, Selangor	RM 295,000MUST SEE	Non Landed3 beds2 bath1 carparkRM 362/sqft814 sqft
60	Klang Villa Apartment	Jalan Sabah Off Jalan Raja Lumu, Pandamaran, Port Klang, Selangor	RM 60,000MUST SEE	Non Landed1 beds2 bathRM 144/sqft414 sqft
61	Isola	Jalan SS 16/1, Subang Jaya, Selangor	RM 850,000MUST SEE	Non Landed2 beds2 bath2 carparkRM 830/sqft1,023 sqft
62	Bukit Pantai (Pantai Hill)	Taman Bukit Pantai, Pantai, Kuala Lumpur	RM 4,500,000MUST SEE	Landed5 + 1 beds5 bath4 carparkRM 536/sqft8,382 sqft
63	Jalan Setia Indah U13/13N	Setia Alam/Alam Nusantara, Selangor	RM 830,000MUST SEE	Landed4 + 1 beds4 bathRM 592/sqft1,400 sqft
64	Alam Impian	Persiaran Tun Teja, Shah Alam, Selangor	RM 1,350,000MUST SEE	Landed6 beds6 bathRM 290/sqft4,650 sqft
65	Kiara 9	Jalan Kiara 9, Mont Kiara, Kuala Lumpur	RM 3,050,000MUST SEE	Landed5 beds6 bathRM 1,525/sqft2,000 sqft
66	Windsor Tower - penthouse studio, KLCC Istana view  	Mont Kiara, Kuala Lumpur	RM 580,000MUST SEE	Non LandedStudio- bathRM 906/sqft640 sqft
67	Continew Serviced Apartment	Lot 8, Seksyen, 65, Jln Tun Razak, Mukim Bandar, Bandar Tun Razak, Kuala Lumpur	RM 590,000MUST SEE	Non Landed2 beds2 bath1 carparkRM 676/sqft872 sqft
68	Taman Sri Gombak	Jalan Muhibbah, Batu Caves, Selangor	RM 500,000MUST SEE	Landed3 beds2 bathRM 416/sqft1,200 sqft
69	Indah Alam	Jalan Pangsapuri Subang Andaman, Shah Alam, Selangor	RM 518,000MUST SEE	Non Landed3 beds2 bath2 carparkRM 450/sqft1,149 sqft
70	Residensi Sefina	Jalan Kiara 3, Mont Kiara, Kuala Lumpur	RM 1,200,000MUST SEE	Non Landed3 beds2 bath2 carparkRM 900/sqft1,333 sqft
71	The Conlay	Jalan Conlay, KL City, Kuala Lumpur	RM 1,480,000MUST SEE	Non Landed1 beds2 bathRM 2,021/sqft732 sqft
72	The Conlay	Jalan Conlay, KL City, Kuala Lumpur	RM 2,372,000MUST SEE	Non Landed2 beds2 bath1 carparkRM 1,966/sqft1,206 sqft
73	Emporis	Persiaran Suria, Kota Damansara, Selangor	RM 510,000MUST SEE	Non Landed2 + 1 beds2 bath2 carparkRM 579/sqft880 sqft
74	Klang FREEHOLD 3 -storey's Semi-D House	Klang, Klang, Selangor	RM 1,680,000MUST SEE	Landed5 beds5 bathRM 336/sqft5,000 sqft
75	Duta Villa, Setia Alam	Setia Alam, Setia Alam/Alam Nusantara, Selangor	RM 2,500,000MUST SEE	Landed- beds- bathRM 662/sqft3,772 sqft
76	Jalan Setia Indah U13/10	J, Setia Alam/Alam Nusantara, Selangor	RM 780,000MUST SEE	Landed3 beds3 bathRM 557/sqft1,400 sqft
77	Jalan Kapar	J, Kapar, Selangor	RM 10,500,000MUST SEE	Landed- beds- bathRM 24/sqft435,600 sqft
78	Greenery 2 Storey Semi D Facing Garden 40x80 Cyber	Cyberjaya, Selangor	RM 528,000MUST SEE	Landed5 beds4 bath6 carparkRM -- sqft
79	Taman Pinggiran USJ	Jalan Pinggiran USJ, USJ, Selangor	RM 1,100,000MUST SEE	Landed4 beds3 bathRM 313/sqft3,512 sqft
80	Alam Suria	Jalan Alam Suria, Bandar Puncak Alam, Selangor	RM 565,000MUST SEE	Landed4 beds3 bathRM 403/sqft1,400 sqft
81	USJ 23	Jalan USJ 23/1, USJ, Selangor	RM 1,890,000MUST SEE	Landed5 beds4 bath8 carparkRM 414/sqft4,558 sqft
82	Ukay Heights	Jalan Ukay, Ampang, Selangor	RM 9,800,000MUST SEE	Landed8 + 1 beds8 bath12 carparkRM 465/sqft21,045 sqft
83	Bukit Bangsar	Jalan Abdullah, Lorong Abdullah, Bangsar, Kuala Lumpur	RM 15,000,000MUST SEE	Landed9 beds8 bathRM 1,385/sqft10,823 sqft
84	Damansara Heights (Bukit Damansara)	Jalan Setiakasih; Jalan Setiabudi; Jalan Setia Murni; Jalan Setia Bakti; Jalan Beringin, Damansara Heights, Kuala Lumpur	RM 8,500,000MUST SEE	Landed7 + 1 beds9 bath8 carparkRM 1,087/sqft7,815 sqft
85	Seksyen 2, Shah Alam	Jalan Bunga Raya, Shah Alam, Selangor	RM 2,280,000MUST SEE	Landed4 + 1 beds5 bath12 carparkRM 253/sqft8,998 sqft
86	Bandar Sungai Long	Jalan Sungai Long, Kajang, Selangor	RM 1,780,000MUST SEE	Landed6 beds6 bath7 carparkRM 261/sqft6,799 sqft
87	Lakeview Resort Saujana	Persiaran Golf, Shah Alam, Selangor	RM 6,300,000MUST SEE	Landed8 beds7 bath6 carparkRM 630/sqft10,000 sqft
88	Kemensah Heights	Jalan 6, Taman Melawati, Selangor	RM 8,999,000MUST SEE	Landed6 beds7 bath8 carparkRM 346/sqft26,000 sqft
89	Mont Kiara Damai Resort Condominium	Jalan Kiara 2, Mont Kiara, Kuala Lumpur	RM 2,430,000MUST SEE	Non Landed5 + 1 beds5 bath3 carparkRM 730/sqft3,326 sqft
90	Laman Glenmarie	Section U1, Glenmarie, Selangor	RM 880,000MUST SEE	Landed4 beds4 bathRM 533/sqft1,650 sqft
91	Jalan Anggerik Oncidium 31/69A	Jalan Anggerik 31/69A, Kota Kemuning, Selangor	RM 948,000MUST SEE	Landed8 beds4 bathRM 299/sqft3,168 sqft
92	Danau Murni	Jalan 109F, Taman Danau Desa, Taman Desa, Kuala Lumpur	RM 260,000MUST SEE	Non Landed3 beds2 bathRM 360/sqft721 sqft
93	Kota Kemuning Hills	Kota Kemuning, Shah Alam, Selangor	RM 2,300,000MUST SEE	Landed5 beds5 bathRM 500/sqft4,600 sqft
94	Sri Alam Condominium	Jalan Kelab Golf Sultan Abdul Aziz 13/1, Section 13, Shah Alam, Selangor	RM 628,000MUST SEE	Non Landed3 + 1 beds3 bath1 carparkRM 333/sqft1,884 sqft
95	Monterez Golf & Country Club	Jalan Merah Kesumba, Section U9, Shah Alam, Selangor	RM 1,050,000MUST SEE	Landed- beds- bathRM 157/sqft6,660 sqft
96	Bandar Tun Hussein Onn	Jalan Suakasih, Batu 9th Cheras, Selangor	RM 3,200,000MUST SEE	Landed6 + 1 beds8 bathRM 571/sqft5,600 sqft
97	Denai Alam, Shah Alam	Jalan Elektron U16/66, Denai Alam, Selangor	RM 1,100,000MUST SEE	Landed5 beds5 bathRM 458/sqft2,400 sqft
98	Lake Point Residence	Persiaran Sepang, Cyberjaya, Selangor	RM 860,000MUST SEE	Non Landed4 + 1 beds4 bathRM 496/sqft1,732 sqft
99	Lake Point Residence	Persiaran Sepang, Cyberjaya, Selangor	RM 493,000MUST SEE	Non Landed3 beds2 bath2 carparkRM 509/sqft968 sqft
100	Taman Seri Changgang 3	Jalan Sc3 1/2, Banting, Selangor	RM 357,000MUST SEE	Landed4 beds2 bath2 carparkRM 238/sqft1,500 sqft
101	Perdana Lakeview East	Jalan Sri Tasik Timur, Cyberjaya, Selangor	RM 1,800,000MUST SEE	Landed5 + 1 beds6 bath4 carparkRM 366/sqft4,907 sqft
102	Kampung Paya Jaras Hilir	Sungai Buloh, Selangor	RM 998,000MUST SEE	Landed6 beds5 bath4 carparkRM 415/sqft2,400 sqft
103	Mines Wellness City	Seri Kembangan, Selangor	RM 10,800,000MUST SEE	Landed9 beds10 bath12 carparkRM 771/sqft14,000 sqft
104	Taman Putra Permai	Jalan Putra Permai, Seri Kembangan, Selangor	RM 1,100,000MUST SEE	Landed5 + 1 beds5 bath3 carparkRM 305/sqft3,606 sqft
105	Taman Bukit Mewah	Kajang, Selangor	RM 899,000MUST SEE	Landed6 beds5 bath2 carparkRM -- sqft
106	Seksyen 5, Kota Damansara	Jalan Sepah Puteri, Kota Damansara, Selangor	RM 2,390,000MUST SEE	Landed5 + 1 beds5 bathRM 478/sqft5,000 sqft
107	Jalan Pipit Taman @ Bentara	Telok Panglima Garang, Selangor	RM 750,000MUST SEE	Landed4 beds3 bath2 carparkRM 159/sqft4,700 sqft
108	Seksyen 27, Shah Alam (Taman Bunga Negara)	Shah Alam, Selangor	RM 1,850,000MUST SEE	Landed6 + 1 beds6 bath4 carparkRM 770/sqft2,400 sqft
109	ResTrees	Jalan USJ 17/8, USJ, Selangor	RM 2,200,000MUST SEE	Landed6 beds6 bath3 carparkRM 785/sqft2,800 sqft
110	Diamond City	Lebuh Diamond, Semenyih, Selangor	RM 1,680,000MUST SEE	Landed5 + 1 beds5 bath4 carparkRM 425/sqft3,950 sqft
111	Taman Tasik Semenyih (Lake Residence)	Jalan TTS, Semenyih, Selangor	RM 630,000MUST SEE	Landed4 beds3 bath3 carparkRM 204/sqft3,078 sqft
112	Sunway Rymba Hills	Jalan PJU 3/32, Tropicana, Sunway Damansara, Selangor	RM 4,450,000MUST SEE	Landed5 beds6 bath4 carparkRM 988/sqft4,500 sqft
113	Cendana on Sultan Ismail	Jalan Cendana Off Jalan Ampang Off Jalan Sultan Ismail, KLCC, Kuala Lumpur	RM 1,500,000MUST SEE	Non Landed2 + 1 beds4 bath2 carparkRM 714/sqft2,100 sqft
114	Bandar Bukit Mahkota Bangi	Bangi, Selangor	RM 2,880,000MUST SEE	Landed5 + 1 beds6 bath8 carparkRM 183/sqft15,683 sqft
115	Bandar Bukit Mahkota Bangi	Bangi, Selangor	RM 1,450,000MUST SEE	Landed6 beds6 bath3 carparkRM 282/sqft5,134 sqft
116	Seksyen 3, Bandar Baru Bangi	Bangi, Selangor	RM 1,280,000MUST SEE	Landed7 beds5 bathRM 426/sqft3,000 sqft
117	Bandar Damai Perdana	Jalan Damai Perdana 2, Bandar Damai Perdana, Selangor	RM 580,000MUST SEE	Landed4 beds3 bathRM 537/sqft1,080 sqft
118	SkyMeridien @ Sentul East	Jalan 1/48a, Bandar Baru Sentul, Sentul, Kuala Lumpur	RM 800,000MUST SEE	Non Landed4 beds2 bath2 carparkRM 666/sqft1,200 sqft
119	Berjaya Park (Taman Berjaya)	Seksyen 32, Shah Alam, Selangor	RM 590,000MUST SEE	Landed4 + 1 beds3 bath2 carparkRM 421/sqft1,400 sqft
120	Bandar Saujana Putra	Bandar Saujana Putra, Bandar Saujana Putra, Selangor	RM 520,000MUST SEE	Landed4 + 1 beds3 bath2 carparkRM 400/sqft1,300 sqft
121	Mines Wellness City	Seri Kembangan, Selangor	RM 10,800,000MUST SEE	Landed9 beds10 bath12 carparkRM 771/sqft14,000 sqft
122	Taman Putra Permai	Jalan Putra Permai, Seri Kembangan, Selangor	RM 1,100,000MUST SEE	Landed5 + 1 beds5 bath3 carparkRM 305/sqft3,606 sqft
123	Taman Bukit Mewah	Kajang, Selangor	RM 899,000MUST SEE	Landed6 beds5 bath2 carparkRM -- sqft
124	Seksyen 5, Kota Damansara	Jalan Sepah Puteri, Kota Damansara, Selangor	RM 2,390,000MUST SEE	Landed5 + 1 beds5 bathRM 478/sqft5,000 sqft
125	Jalan Pipit Taman @ Bentara	Telok Panglima Garang, Selangor	RM 750,000MUST SEE	Landed4 beds3 bath2 carparkRM 159/sqft4,700 sqft
126	Seksyen 27, Shah Alam (Taman Bunga Negara)	Shah Alam, Selangor	RM 1,850,000MUST SEE	Landed6 + 1 beds6 bath4 carparkRM 770/sqft2,400 sqft
127	ResTrees	Jalan USJ 17/8, USJ, Selangor	RM 2,200,000MUST SEE	Landed6 beds6 bath3 carparkRM 785/sqft2,800 sqft
128	Diamond City	Lebuh Diamond, Semenyih, Selangor	RM 1,680,000MUST SEE	Landed5 + 1 beds5 bath4 carparkRM 425/sqft3,950 sqft
129	Taman Tasik Semenyih (Lake Residence)	Jalan TTS, Semenyih, Selangor	RM 630,000MUST SEE	Landed4 beds3 bath3 carparkRM 204/sqft3,078 sqft
130	Sunway Rymba Hills	Jalan PJU 3/32, Tropicana, Sunway Damansara, Selangor	RM 4,450,000MUST SEE	Landed5 beds6 bath4 carparkRM 988/sqft4,500 sqft
131	Bandar Bukit Mahkota Bangi	Bangi, Selangor	RM 2,880,000MUST SEE	Landed5 + 1 beds6 bath8 carparkRM 183/sqft15,683 sqft
132	Bandar Bukit Mahkota Bangi	Bangi, Selangor	RM 1,450,000MUST SEE	Landed6 beds6 bath3 carparkRM 282/sqft5,134 sqft
133	Seksyen 3, Bandar Baru Bangi	Bangi, Selangor	RM 1,280,000MUST SEE	Landed7 beds5 bathRM 426/sqft3,000 sqft
134	Bandar Damai Perdana	Jalan Damai Perdana 2, Bandar Damai Perdana, Selangor	RM 580,000MUST SEE	Landed4 beds3 bathRM 537/sqft1,080 sqft
135	SkyMeridien @ Sentul East	Jalan 1/48a, Bandar Baru Sentul, Sentul, Kuala Lumpur	RM 800,000MUST SEE	Non Landed4 beds2 bath2 carparkRM 666/sqft1,200 sqft
136	Berjaya Park (Taman Berjaya)	Seksyen 32, Shah Alam, Selangor	RM 590,000MUST SEE	Landed4 + 1 beds3 bath2 carparkRM 421/sqft1,400 sqft
137	Bandar Saujana Putra	Bandar Saujana Putra, Bandar Saujana Putra, Selangor	RM 520,000MUST SEE	Landed4 + 1 beds3 bath2 carparkRM 400/sqft1,300 sqft
138	Cendana on Sultan Ismail	Jalan Cendana Off Jalan Ampang Off Jalan Sultan Ismail, KLCC, Kuala Lumpur	RM 1,500,000MUST SEE	Non Landed2 + 1 beds4 bath2 carparkRM 714/sqft2,100 sqft
139	Eden @ Jalil	Taman Puncak Jalil, 43300 Seri Kembangan, Puncak Jalil, Selangor	RM 1,180,000MUST SEE	Landed5 beds5 bathRM 842/sqft1,400 sqft
140	The Park	Jalan Cemara, Seri Kembangan, Selangor	RM 2,100,000MUST SEE	Landed5 beds6 bath3 carparkRM 419/sqft5,008 sqft
141	Berjaya Park (Taman Berjaya)	Seksyen 32, Shah Alam, Selangor	RM 590,000MUST SEE	Landed4 + 1 beds3 bath2 carparkRM 421/sqft1,400 sqft
142	Bandar Saujana Putra	Bandar Saujana Putra, Bandar Saujana Putra, Selangor	RM 520,000MUST SEE	Landed4 + 1 beds3 bath2 carparkRM 400/sqft1,300 sqft
143	Seksyen 27, Shah Alam (Taman Bunga Negara)	Shah Alam, Selangor	RM 1,850,000MUST SEE	Landed6 + 1 beds6 bath4 carparkRM 770/sqft2,400 sqft
144	Cendana on Sultan Ismail	Jalan Cendana Off Jalan Ampang Off Jalan Sultan Ismail, KLCC, Kuala Lumpur	RM 1,500,000MUST SEE	Non Landed2 + 1 beds4 bath2 carparkRM 714/sqft2,100 sqft
145	Eden @ Jalil	Taman Puncak Jalil, 43300 Seri Kembangan, Puncak Jalil, Selangor	RM 1,180,000MUST SEE	Landed5 beds5 bathRM 842/sqft1,400 sqft
146	The Park	Jalan Cemara, Seri Kembangan, Selangor	RM 2,100,000MUST SEE	Landed5 beds6 bath3 carparkRM 419/sqft5,008 sqft
147	Jalan Kg Pandan	Lorong Kg Pandan, KL City, Kuala Lumpur	RM 2,100,000MUST SEE	Landed5 + 1 beds5 bath3 carparkRM 500/sqft4,200 sqft
148	Royal Regent Sri Putramas III	Jalan Dutamas 2, Dutamas, Kuala Lumpur	RM 950,000MUST SEE	Non Landed4 beds3 bath3 carparkRM 496/sqft1,915 sqft
149	Terresse 2 @ Bandar Puteri Bangi	Persiaran Mahkota, Bangi, Selangor	RM 848,000MUST SEE	Landed4 + 1 beds4 bath2 carparkRM 504/sqft1,680 sqft
150	Savanna 1	Jalan 1/155a, Off Jalan Barat, Bukit Jalil, Kuala Lumpur	RM 600,000MUST SEE	Non Landed4 beds2 bath3 carparkRM 495/sqft1,212 sqft
151	Taman Suria Warisan @ Kota Warisan	J, Sepang, Selangor	RM 587,070Completion Year : 2019	Landed4 beds3 bathRM 355/sqft1,650 sqft
152	Residensi Aurora	Taman Sains Selangor 2, Cyberjaya, Selangor	RM 937,800MUST SEE	Landed4 + 1 beds5 bath2 carparkRM 515/sqft1,820 sqft
153	Puteri Bayu	Jalan Puteri 11/1, Bandar Puteri, Bandar Puteri Puchong, Selangor	RM 400,000MUST SEE	Non Landed3 beds2 bathRM 444/sqft900 sqft
154	Kingsley Hills @ Putra Heights	Selangor, Subang Jaya, Selangor	RM 2,300,000MUST SEE	Landed6 beds6 bath4 carparkRM 442/sqft5,198 sqft
155	Taman Wawasan, Pusat Bandar Puchong	Pusat Bandar Puchong, Puchong, Selangor	RM 1,150,000MUST SEE	Landed5 beds3 bath2 carparkRM 567/sqft2,025 sqft
156	Jalan Merbuk 5	J, Puchong, Selangor	RM 590,000MUST SEE	Landed3 beds2 bathRM 715/sqft825 sqft
157	Jalan Puchong Utama 6	J, Puchong, Selangor	RM 530,000MUST SEE	Landed4 beds3 bath2 carparkRM 452/sqft1,170 sqft
158	Jalan Wawasan 3/12	K, Puchong, Selangor	RM 700,000MUST SEE	Landed4 beds3 bath2 carparkRM 598/sqft1,170 sqft
159	Mutiara Puchong	Jalan Tmp 3, Mutiara Puchong, Puchong, Selangor	RM 930,000MUST SEE	Landed4 beds3 bathRM 664/sqft1,400 sqft
160	Bandar Bukit Puchong, BP 1	Jalan BP 1, Puchong, Selangor	RM 570,000MUST SEE	Landed4 beds3 bath2 carparkRM 527/sqft1,080 sqft
161	Jalan Merbuk 5	J, Puchong, Selangor	RM 590,000MUST SEE	Landed3 beds2 bathRM 715/sqft825 sqft
162	Jalan Puchong Utama 6	J, Puchong, Selangor	RM 530,000MUST SEE	Landed4 beds3 bath2 carparkRM 452/sqft1,170 sqft
163	Jalan Wawasan 3/12	K, Puchong, Selangor	RM 700,000MUST SEE	Landed4 beds3 bath2 carparkRM 598/sqft1,170 sqft
164	Mutiara Puchong	Jalan Tmp 3, Mutiara Puchong, Puchong, Selangor	RM 930,000MUST SEE	Landed4 beds3 bathRM 664/sqft1,400 sqft
